Designator,Footprint,Quantity,Value,LCSC Part #
A1,Arduino_Nicla_Vision_Socket,1,Arduino_Nicla_Vision_Socket,
C1,1206,1,10uF,C13585
C2,0402,1,10nF,C15195
C3,CP_Elec_6.3x7.7,1,150uF,C7471880
C4,0603,1,1uF,C15849
C5,0402,1,470pF,C1537
C6,0603,1,10uF,C96446
CN1,"PhoenixContact_MSTBA_2,5_4-G-5,08_1x04_P5.08mm_Horizontal",1,Input,C192796
CN2,"PhoenixContact_MSTBA_2,5_4-G-5,08_1x04_P5.08mm_Horizontal",1,Output,C192796
D1,D_SMA,1,D_Schottky,C412514
D2,D_SMC,1,B560C-13-F,C85100
JP2,PinHeader_2x04_P2.54mm_Vertical,1,Address,C225289
L1,L_Bourns_SRP7028A_7.3x6.6mm,1,MWSA0624S-4R7MT,C408433
"LD1, LD3",0603,2,3v3,C2286
LD2,0603,1,5v,C2286
LD4,0603,1,Tx,C2286
LD5,0603,1,Rx,C2286
R1,0603,1,120,C177328
"R10, R11, R2, R5, R6",0402,5,1k,C140196
"R3, R7, R8, R9",0805,4,10k,C17414
R4,0805,1,3.3k,C26010
U1,TI_SO-PowerPAD-8_ThermalVias,1,TPS5430DDA,C9864
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,MAX3485EESA+T,C9943
U3,SOT-23-5,1,SPX3819M5-L-3-3,C9055
